kigo,pronunciation,season
十七夜講,じゅうしちやこう,新年
重詰,じゅうづめ,新年
重詰料理,じゅうづめりょうり,新年
十二書き,じゅうにかき,新年
十二節,じゅうにせつ,新年
十八粥,じゅうはちがゆ,新年
十四日団子,じゅうよっかだんご,新年
十四日年越,じゅうよっかとしこし,新年
十六さすかり,じゅうろくさすかり,新年
十六日遊び,じゅうろくにちあそび,新年
十六日祭,じゅうろくにちさい,新年
十六むさし,じゅうろくむさし,新年
十六目石,じゅうろくむさし,新年
夙の者,しゅくのもの,新年
主月歳,しゅげつさい,新年
珠光餅,しゅこうもち,新年
首歳,しゅさい,新年
首春,しゅしゅん,新年
修正会,しゅしょうえ,新年
淑気,しゅっき・しゅくき,新年
出世双六,しゅっせすごろく,新年
尾類馬,じゅりうま,新年
春鶯囀,しゅんおうてん,新年
春首,しゅんしゅ,新年
春正月,しゅんしょうがつ,新年
春盤,しゅんばん,新年
春服,しゅんぷく,新年
春孟,しゅんもう,新年
叙位,じょい,新年
正月,しょうがつ,新年
正月小袖,しょうがつこそで,新年
正月小屋,しょうがつごや,新年
正月様,しょうがつさま,新年
正月さん,しょうがつさん,新年
